Order ID,Product Name,Quantity,Original Price,Taxes,Discount,Final Price,Customer Name,Customer Phone No,Time of Purchase,Date of Purchase
J9KUVEA0,Pearson Book,1,580.05,104.41,29.0,655.46,Vikram Joshi,9823171317,03:13:48,25-02-06
CPC5HB69,Penguin Book,4,66.76,12.02,3.34,75.44,Divya Iyer,9765584648,03:13:48,25-03-27
A3Q2CYIU,Pearson Book,3,1740.15,313.23,87.01,1966.37,Rahul Sharma,9657243506,03:13:48,25-01-13
6HT5S2VQ,HomeTown Hom,1,524.23,94.36,26.21,592.38,Karan Malhotra,9633563131,03:13:48,25-01-27
40XMSDOM,LG Electronic,4,2696.16,485.31,134.81,3046.66,Priya Patel,9756768952,03:13:48,24-11-24
JR0AJQ8U,Levi's Clothin,5,1937.15,348.69,96.86,2188.98,Priya Patel,9253810228,03:13:48,25-03-04
2FICIIA9,Pearson Book,1,580.05,104.41,29.0,655.46,Divya Iyer,9623411679,03:13:48,25-02-22
40D3SDUF,Apple Electronic,2,81.16,14.61,4.06,91.71,Shreya Chatterjee,9581369342,03:13:48,24-12-03
GQGURDTV,IKEA Hom,1,11.74,2.11,0.59,13.26,Amit Singh,9173390490,03:13:48,25-03-10
X3PXGQF8,Dabur Grocerie,1,304.75,54.85,15.24,344.36,Divya Iyer,9174317502,03:13:48,25-01-04
X5F5DY7G,HomeTown Hom,1,524.23,94.36,26.21,592.38,Priya Patel,9684876986,03:13:48,24-12-16
MTU07IDI,Penguin Book,4,66.76,12.02,3.34,75.44,Divya Iyer,9577873791,03:13:48,24-12-31
BDV539SQ,HarperCollins Book,4,2558.76,460.58,127.94,2891.4,Vikram Joshi,9616750961,03:13:48,25-02-03
SOCI24RW,Dabur Grocerie,3,914.25,164.56,45.71,1033.1,Karan Malhotra,9113198547,03:13:48,25-01-30
EJX35589,IKEA Hom,1,11.74,2.11,0.59,13.26,Rohit Verma,9476618883,03:13:48,25-01-03
JX14HETT,Patanjali Grocerie,2,451.14,81.21,22.56,509.79,Vikram Joshi,9865726034,03:13:48,24-10-13
GGRUPX8C,Godrej Hom,3,243.27,43.79,12.16,274.9,Shreya Chatterjee,9322947830,03:13:48,24-12-20
3THST5GG,HomeTown Hom,1,524.23,94.36,26.21,592.38,Divya Iyer,9466872467,03:13:48,24-11-30
2E9YR9JT,Patanjali Grocerie,3,676.71,121.81,33.84,764.68,Shreya Chatterjee,9580911604,03:13:48,24-12-28
31IK3G7R,Levi's Clothin,3,1162.29,209.21,58.11,1313.39,Karan Malhotra,9403506188,03:13:48,25-02-09

Y7OQHDRY,IKEA Hom,2,979.52,176.31359999999998,48.976,1106.8575999999998,Alex,(+1)231 7281,23:38:52,2025-04-07
Y7OQHDRY,HomeTown Hom,1,524.23,94.3614,26.2115,592.3799,Alex,(+1)231 7281,23:38:52,2025-04-07
Y7OQHDRY,Apple Electronic,1,40.58,7.304399999999999,2.029,45.8554,Alex,(+1)231 7281,23:38:52,2025-04-07
Y7OQHDRY,Levi's Clothin,1,387.43,69.7374,19.3715,437.79589999999996,Alex,(+1)231 7281,23:38:52,2025-04-07
